Program,Operating Carrier,Origin,Destination,Cost Economy (One Way),Cost Business (One Way),Cost First (One Way),Cost Economy (Off-Peak)
Alaska,Emirates,Continental US & Canada,Africa,47500,77500,100000,"""N/A"""
Alaska,Air France / KLM,Continental US & Canada,Africa,40000,70000,"""N/A""","""N/A"""
Alaska,British Airways,Continental US & Canada,Africa,50000,70000,80000,"""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Africa,50000,62500,70000,"""N/A"""
Alaska,Delta,Continental US & Canada,Africa ,42500,70000,"""N/A""","""N/A"""
Alaska,Delta,Continental US & Canada,Australia / New Zealand,50000,80000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,Australia / New Zealand,42500,62500,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Australia / New Zealand,40000,60000,80000,"""N/A"""
Alaska,Fiji Airways,Continental US & Canada,Australia / New Zealand,40000,55000,"""N/A""","""N/A"""
Alaska,Qantas,Continental US & Canada,Australia / New Zealand,42500,55000,70000,"""N/A"""
Alaska,American,Continental US & Canada,Caribbean,17500,30000,40000,"""N/A"""
Alaska,Delta,Continental US & Canada,Caribbean,17500,30000,"""N/A""","""N/A"""
Alaska,Aeromexico,Continental US & Canada,Central America,"""N/A""","""N/A""","""N/A""","""N/A"""
Alaska,Alaska,Continental US & Canada,Central America,25000,30000,"""N/A""",17500
Alaska,American,Continental US & Canada,Central America,17500,30000,40000,15000
Alaska,Delta,Continental US & Canada,Central America,17500,30000,"""N/A""","""N/A"""
Alaska,Emirates,Continental US & Canada,China,52500,75000,100000,"""N/A"""
Alaska,Delta,Continental US & Canada,China,40000,70000,"""N/A""","""N/A"""
Alaska,American,Continental US & Canada,China,35000,55000,67500,"""N/A"""
Alaska,Korean,Continental US & Canada,China,35000,52500,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,China,30000,50000,70000,"""N/A"""
Alaska,American,Continental US & Canada,Continental US & Canada,12500,32500,"""N/A""","""N/A"""
Alaska,Alaska,Continental US & Canada,Continental US & Canada,20000,25000,"""N/A""",12500
Alaska,Cathay Pacific,Continental US & Canada,Continental US & Canada,17500,25000,35000,"""N/A"""
Alaska,Delta,Continental US & Canada,Continental US & Canada,12500,25000,"""N/A""","""N/A"""
Alaska,Delta,Continental US & Canada,Deep South America,30000,62500,"""N/A""","""N/A"""
Alaska,American,Continental US & Canada,Deep South America,30000,50000,62500,20000
Alaska,Aeromexico,Continental US & Canada,Deep South America,"""N/A""","""N/A""","""N/A""","""N/A"""
Alaska,LAN,Continental US & Canada,Deep South America,30000,45000,"""N/A""",25000
Alaska,Emirates,Continental US & Canada,Europe,47500,75000,100000,"""N/A"""
Alaska,Air France / KLM,Continental US & Canada,Europe,32500,62500,"""N/A""","""N/A"""
Alaska,Delta,Continental US & Canada,Europe,30000,62500,"""N/A""","""N/A"""
Alaska,British Airways,Continental US & Canada,Europe,32500,60000,70000,"""N/A"""
Alaska,American,Continental US & Canada,Europe,30000,50000,62500,20000
Alaska,Korean,Continental US & Canada,Fiji,42500,62500,"""N/A""","""N/A"""
Alaska,Fiji Airways,Continental US & Canada,Fiji,40000,55000,"""N/A""","""N/A"""
Alaska,Air France / KLM,Continental US & Canada,French Polynesia,40000,60000,"""N/A""","""N/A"""
Alaska,American,Continental US & Canada,Hawaii,22500,47500,"""N/A""","""N/A"""
Alaska,Alaska,Continental US & Canada,Hawaii,30000,40000,"""N/A""",20000
Alaska,Delta,Continental US & Canada,Hawaii,22500,40000,"""N/A""","""N/A"""
Alaska,Emirates,Continental US & Canada,India,42500,72500,90000,"""N/A"""
Alaska,Air France / KLM,Continental US & Canada,India,40000,70000,"""N/A""","""N/A"""
Alaska,British Airways,Continental US & Canada,India,50000,70000,80000,"""N/A"""
Alaska,Delta,Continental US & Canada,India,42500,70000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,India,50000,70000,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,India,50000,62500,70000,"""N/A"""
Alaska,Emirates,Continental US & Canada,Japan,52500,75000,100000,"""N/A"""
Alaska,Delta,Continental US & Canada,Japan,40000,70000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,Japan,35000,52500,"""N/A""","""N/A"""
Alaska,American,Continental US & Canada,Japan,32500,50000,62500,25000
Alaska,Cathay Pacific,Continental US & Canada,Japan,30000,50000,70000,"""N/A"""
Alaska,Emirates,Continental US & Canada,Korea,52500,75000,100000,"""N/A"""
Alaska,Delta,Continental US & Canada,Korea,40000,70000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,Korea,35000,52500,"""N/A""","""N/A"""
Alaska,American,Continental US & Canada,Korea,32500,50000,62500,25000
Alaska,Cathay Pacific,Continental US & Canada,Korea,30000,50000,70000,"""N/A"""
Alaska,Aeromexico,Continental US & Canada,Mexico,"""N/A""","""N/A""","""N/A""","""N/A"""
Alaska,Delta,Continental US & Canada,Mexico,20000,32500,"""N/A""","""N/A"""
Alaska,Alaska,Continental US & Canada,Mexico,25000,30000,"""N/A""",17500
Alaska,American,Continental US & Canada,Mexico,17500,30000,40000,"""N/A"""
