Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
,Alliance Hub,United States,"Mainland US, Alaska & Canada",Contiguous 48 States,North America,"Continental US, Alaska, Canada",Continental US & Canada,North America,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",US Domestic,North America,US Continental,Canada & Continental US,,"JFK,",14
,Alliance Hub,United Kingdom,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"LON,",14
,Alliance Hub,Australia,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,Oceania,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",South West Pacific,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"SYD,",15
,Alliance Hub,United Arab Emirates,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Zone 10 - Africa, Middle East, Turkey","Africa, Middle East & Asia","Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"DXB,",14
,Alliance Hub,Switzerland,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"ZRH,",14
,Alliance Hub,Spain,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"MAD,",14
,Alliance Hub,South Korea,North Asia,Asia Region 1,North Asia,Northern Asia,Korea,Korea,Asia 1,South Korea,Zone 7 - Japan & South Korea,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"ICN,",15
,Alliance Hub,South Africa,Central/Southern Africa,Africa,South Africa,South Africa,South Africa,,"Middle East, Africa","Africa, Middle East","Zone 10 - Africa, Middle East, Turkey","Africa, Middle East & Asia",Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"JNB,",14
,Alliance Hub,Saudi Arabia,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"RUH,",13
,Alliance Hub,Russia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"SVO,",14
,Alliance Hub,Portugal,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"LIS,",14
,Alliance Hub,Vietnam,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 1,,"HAN,",14
,Medium,Pakistan,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Middle East,,Asia 3,Asia 2,"Central, South Asia",,Indian Subcontinent,India,,Southwest Asia,Indian Subcontinent,,"ISB,",12
,Alliance Hub,New Zealand,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,Oceania,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"AKL,",14
,Alliance Hub,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"MEX,",14
,Medium,Brazil,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"BSB,",14
,Alliance Hub,Canada,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",North America,North America,Canada,Canada & Continental US,,"YYZ,",13
,Alliance Hub,China,North Asia,Asia Region 2,North Asia,Northern Asia,China,China/Northeast Asia,Asia 2,Asia 1,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Southeast Asia,Southeast Asia,Asia 1,,"PEK,",15
,Medium,Germany,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"TXL,",13
,Alliance Hub,India,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,India,,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"DEL,",13
,Alliance Hub,Indonesia,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 2 - Malaysia, Indonesia & Brunei",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"CGK,",14
,Alliance Hub,Ireland,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"DUB,",14
,Alliance Hub,Japan,Japan,Asia Region 1,North Asia,Northern Asia,Japan,Japan,Asia 1,Japan,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"HND,",15
KBL,Very Low,Afghanistan,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Rest of Asia,,Asia 3,Asia 2,"Central, South Asia",,,,,Southwest Asia,Indian Subcontinent,,"KBL,",10
ANC,Medium,Alaska,"Mainland US, Alaska & Canada",Canada & Alaska,North America,"Continental US, Alaska, Canada",Continental US & Canada,,North America,North America,North America,,"North America, Aruba, Bonaire, Curacao, Suriname",US Domestic,North America,,Canada & Continental US,,"ANC,",12
TIA,Very Low,Albania,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"TIA,",13
ALG,Very Low,Algeria,Northern Africa,Africa,Middle East/North Africa,Europe,Africa,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,Europe 1 & North Africa 1,North Africa,Middle East & North Africa,,"ALG,",13
PPG,Very Low,American Samoa,Oceania,South Pacific,Others,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,Australia/New Zealand/Oceania,,,,,"PPG,",8
LAD,Very Low,Angola,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"LAD,",13
AXA,Very Low,Anguilla,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,,"South, Latin America",,,,,,,,,"AXA,",6
ANU,Low,Antigua,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",,Caribbean & Central America,,"ANU,",11
EZE,Alliance Hub,Argentina - Buenos Aires - Ezeiza,Southern South America,South America Region 2,South of South America,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"EZE,",14
AEP,Medium,Argentina - Jorge Newberry,Southern South America,South America Region 2,South of South America,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"AEP,",13
MDZ,Low,Argentina - Mendoza,Southern South America,South America Region 2,South of South America,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"MDZ,",13
EVN,Very Low,Armenia,Europe,Europe,Middle East/North Africa,Europe,Other,,Europe,Europe,"Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Europe 2,,"EVN,",13
